Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Hawthorne II,40.5065534,-88.90839722004172,Aches Away Massage Specialists,40.502291,-88.906708,Massage Studio
Hedgewood,40.507202299999996,-88.93631332874416,Tipton Park,40.50654326362516,-88.93148177252208,Park
Hedgewood,40.507202299999996,-88.93631332874416,Hedgewood Park,40.5053,-88.937294,Park
Hedgewood,40.507202299999996,-88.93631332874416,Tipton Park Playground,40.506530858235976,-88.93148924593143,Playground
Hedgewood,40.507202299999996,-88.93631332874416,The wood shop,40.506520591305765,-88.9314893166941,Trail
Hedgewood,40.507202299999996,-88.93631332874416,hershey road and jumer road,40.50752394613432,-88.9419453369896,Intersection
Hershey Grove,40.45603935,-88.93946306375327,Bloomington All Mart,40.4574882,-88.94045413333333,Convenience Store
Hershey Grove,40.45603935,-88.93946306375327,Farrels-extreme-body-shaping of Bloomington,40.454256,-88.94036,Health & Beauty Service
Hershey Grove,40.45603935,-88.93946306375327,Lucky 7s,40.454733000000004,-88.941912,Casino
Hershey Grove,40.45603935,-88.93946306375327,FXB Bloomington,40.4539680480957,-88.94214630126953,Gym
Hershey Grove,40.45603935,-88.93946306375327,Brookridge Heights Pool,40.45336151123047,-88.93717956542969,Pool
Hershey Grove,40.45603935,-88.93946306375327,Brett & Greg's Pub,40.45932,-88.942459,Pub
Hershey Road,40.5029145,-88.9386595,Hedgewood Park,40.5053,-88.937294,Park
Hershey Road,40.5029145,-88.9386595,FASTSIGNS,40.501483,-88.944063,Business Service
Hershey Road,40.5029145,-88.9386595,Quick-Brite,40.501224517822266,-88.94397735595703,Home Service
Hollycrest,40.461515999999996,-89.01074100000001,PJ Irvin Park,40.462485294420645,-89.00955311571025,Park
Hollycrest,40.461515999999996,-89.01074100000001,Long Custom Building & Remodeling,40.462634,-89.01234000000001,Construction & Landscaping
Hollycrest,40.461515999999996,-89.01074100000001,Oakwoods Park,40.46202999643478,-89.01442059976908,Park
Hollycrest,40.461515999999996,-89.01074100000001,Mclean County Fair 4-H Office,40.46277,-89.01569,Exhibit
Hollycrest,40.461515999999996,-89.01074100000001,Skate N Place,40.4604606628418,-89.00559997558594,Skating Rink
Hummingbird Way,40.492333,-88.910842,Baxters American Grille,40.48890644040083,-88.91138690164567,American Restaurant
Hummingbird Way,40.492333,-88.910842,Victory Academy,40.4907291,-88.908188,Gymnastics Gym
Hummingbird Way,40.492333,-88.910842,Buffalo Wild Wings,40.48891165923819,-88.91042099164224,Wings Joint
Hummingbird Way,40.492333,-88.910842,Avanti's,40.488730097399284,-88.90885471203283,Italian Restaurant
Lakeside,40.46797595,-88.97424760861168,Thai House,40.4692866,-88.9777244,Thai Restaurant
Lakeside,40.46797595,-88.97424760861168,Casey's General Store,40.466997841445625,-88.97631370907934,Pizza Place
Lakeside,40.46797595,-88.97424760861168,VFW Post 454,40.46731755605115,-88.97690599429377,Lounge
Lakeside,40.46797595,-88.97424760861168,The Ozark House Restaurant,40.470506,-88.9718017,American Restaurant
Lakeside,40.46797595,-88.97424760861168,Lakeside Country Club,40.468943104989194,-88.97560531631915,Golf Course
Lakeside,40.46797595,-88.97424760861168,Pop Up Chicken Shop,40.467346,-88.977265,Fried Chicken Joint
Lakeside,40.46797595,-88.97424760861168,Holiday Pool & Park,40.469104762623296,-88.97141427899633,Pool
Lakeside,40.46797595,-88.97424760861168,Twin City Lanes,40.467284612374925,-88.97740480817002,Bowling Alley
Lakeside,40.46797595,-88.97424760861168,Station 710 Salon,40.470121999999996,-88.9719,Cosmetics Shop
McGraw Park,40.494420899999994,-88.92003056514783,Jason's Deli,40.49616048449,-88.91873966942725,Food Truck
McGraw Park,40.494420899999994,-88.92003056514783,Mcgraw park ball fields,40.494012071746994,-88.9220007549219,Baseball Field
McGraw Park,40.494420899999994,-88.92003056514783,Advocate BroMenn Health and Fitness Center,40.49218417552952,-88.91857098753029,Medical Center
McGraw Park,40.494420899999994,-88.92003056514783,Golds Gym Express,40.49130174642198,-88.92049418464904,Gym / Fitness Center
McGraw Park,40.494420899999994,-88.92003056514783,Constitution Trail at McGraw Park,40.49611338051711,-88.92445244335573,Trail
Miller Park,40.46721470000001,-89.00352327713848,Miller Park Zoo,40.46942055975831,-89.0053167949784,Zoo
Miller Park,40.46721470000001,-89.00352327713848,Park View Inn,40.47070164252007,-89.00665148359528,American Restaurant
Miller Park,40.46721470000001,-89.00352327713848,Miller Park Water Feature,40.46824645996094,-89.00367736816406,Scenic Lookout
Miller Park,40.46721470000001,-89.00352327713848,Miller Park  Pavilion,40.46771,-89.004643,Historic Site
Miller Park,40.46721470000001,-89.00352327713848,Eric's Restaurant,40.47128880745778,-89.00205671889387,Restaurant
Miller Park,40.46721470000001,-89.00352327713848,Forrest Park,40.462928999999995,-89.00362,Park
North Pointe,40.51548775,-88.93525208393027,Ultravision Cinema,40.51553320053963,-88.93070196500037,Movie Theater
North Pointe,40.51548775,-88.93525208393027,Java City,40.5185,-88.938846,Coffee Shop
Oakridge,40.4682904,-88.93517840993547,Constitution Trail @ Rollingbrook,40.46577487489388,-88.93985928712944,Trail
Old Farm Lakes,40.46986025,-88.92816986870041,Old Farm Lakes Playground,40.47186834600548,-88.92990676900534,Playground
